         137155898 function calls (137146730 primitive calls) in 54.512 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9600    0.006    0.000    0.042    0.000 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\tile.py:68(create_tile)
        1    0.000    0.000    0.042    0.042 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\objects\statics.py:115(load_static_definitions)
        2    0.000    0.000    0.041    0.021 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pydantic\type_adapter.py:189(__init__)
      6/4    0.000    0.000    0.041    0.010 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pydantic\type_adapter.py:132(wrapped)
        2    0.003    0.001    0.041    0.021 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pydantic\type_adapter.py:267(_init_core_attrs)
        1    0.040    0.040    0.040    0.040 {built-in method pygame.display.set_mode}
     2488    0.004    0.000    0.039    0.000 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\objects\enemy.py:26(update)
        1    0.000    0.000    0.037    0.037 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\objects\item.py:77(load_item_definitions)
        6    0.000    0.000    0.036    0.006 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\reader.py:122(determine_encoding)
        1    0.000    0.000    0.036    0.036 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\objects\enemy.py:109(load_enemy_definitions)
     9600    0.028    0.000    0.035    0.000 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\tile.py:7(__init__)
        1    0.000    0.000    0.034    0.034 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpcore\_sync\connection.py:103(_connect)
        5    0.000    0.000    0.033    0.007 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\__init__.py:263(safe_dump)
        5    0.000    0.000    0.033    0.007 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\__init__.py:215(dump_all)
        5    0.000    0.000    0.032    0.006 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\representer.py:26(represent)
   187628    0.025    0.000    0.032    0.000 {built-in method builtins.getattr}
      2/1    0.180    0.090    0.032    0.032 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src/main.py:37(main)
        1    0.032    0.032    0.032    0.032 {built-in method pygame.base.quit}
        5    0.000    0.000    0.032    0.006 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\serializer.py:46(serialize)
        5    0.000    0.000    0.031    0.006 {method 'join' of 'bytes' objects}
        2    0.000    0.000    0.031    0.016 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpx\_models.py:810(read)
        2    0.000    0.000    0.031    0.016 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpx\_models.py:818(iter_bytes)
      235    0.000    0.000    0.031    0.000 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\emitter.py:111(emit)
        2    0.000    0.000    0.030    0.015 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pydantic\type_adapter.py:45(_get_schema)
       19    0.000    0.000    0.030    0.002 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\dungeon.py:72(get_random_spawn_point)
       19    0.019    0.001    0.030    0.002 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\dungeon.py:63(find_valid_spawn_points)
       17    0.009    0.001    0.028    0.002 {built-in method builtins.print}
        7    0.000    0.000    0.027    0.004 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\constructor.py:47(get_single_data)
